City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,waitangi,-43.9535,-176.5597,13.23,96,100,5.81,-176.5597,-176.5597
78,kargasok,59.0556,80.8572,-10.58,91,30,3.13,80.8572,80.8572
79,shira,54.4911,89.9531,-4.37,97,100,1.52,89.9531,89.9531
80,badger,64.8,-147.5333,-4.86,94,75,0.0,-147.5333,-147.5333
81,dwarka,22.2394,68.9678,28.67,50,0,3.16,68.9678,68.9678
82,olonkinbyen,70.9221,-8.7187,2.7,66,100,5.23,-8.7187,-8.7187
83,kodiak,57.79,-152.4072,7.73,87,100,4.63,-152.4072,-152.4072
84,reggane,26.7158,0.1714,33.55,11,7,1.84,0.1714,0.1714
85,belmonte,-15.8631,-38.8828,27.84,60,78,5.78,-38.8828,-38.8828
86,touros,-5.1989,-35.4608,29.45,56,12,7.25,-35.4608,-35.4608
87,hermanus,-34.4187,19.2345,17.6,67,93,7.16,19.2345,19.2345
88,new norfolk,-42.7826,147.0587,8.72,91,83,1.37,147.0587,147.0587
89,namibe,-15.1961,12.1522,20.69,70,10,5.1,12.1522,12.1522
90,barcelos,41.5388,-8.6151,18.08,83,90,5.34,-8.6151,-8.6151
91,hammerfest,70.6634,23.6821,3.25,60,75,1.54,23.6821,23.6821
92,vila franca do campo,37.7167,-25.4333,20.23,99,81,3.71,-25.4333,-25.4333
93,libertad,8.9442,125.5019,23.98,95,77,1.93,125.5019,125.5019
94,dabou,5.3256,-4.3769,27.79,77,69,3.42,-4.3769,-4.3769
95,lesogorsk,56.0458,99.5136,-6.15,59,91,4.02,99.5136,99.5136
96,ashland,40.8167,-82.2665,6.04,77,16,4.09,-82.2665,-82.2665
97,jamestown,42.097,-79.2353,5.57,66,100,4.12,-79.2353,-79.2353
98,college,64.8569,-147.8028,-4.82,93,75,0.0,-147.8028,-147.8028
99,okhotsk,59.3833,143.3,-1.57,96,100,3.46,143.3,143.3
100,edinburgh of the seven seas,-37.0676,-12.3116,14.14,90,13,8.77,-12.3116,-12.3116
101,avarua,-21.2078,-159.775,23.03,78,40,4.63,-159.775,-159.775
102,port lincoln,-34.7333,135.8667,10.85,74,4,4.35,135.8667,135.8667
103,pierre,44.3683,-100.351,-3.41,61,0,3.09,-100.351,-100.351
104,ugoofaaru,5.6667,73.0,26.27,84,100,5.48,73.0,73.0
105,sai kung,22.3822,114.2728,25.66,79,17,5.38,114.2728,114.2728
106,quellon,-43.1167,-73.6167,9.43,65,4,3.29,-73.6167,-73.6167
107,east london,-33.0153,27.9116,17.93,72,73,8.12,27.9116,27.9116
108,saint-philippe,-21.3585,55.7679,24.77,85,57,3.14,55.7679,55.7679
109,llanes,43.4198,-4.7549,16.65,65,1,2.33,-4.7549,-4.7549
110,chayan,43.0297,69.3772,9.0,60,0,0.91,69.3772,69.3772
111,kourou,5.1552,-52.6478,34.03,59,11,4.29,-52.6478,-52.6478
112,ilulissat,69.2167,-51.1,7.01,39,75,12.35,-51.1,-51.1
113,ancud,-41.8697,-73.8203,11.19,56,16,2.32,-73.8203,-73.8203
114,palangkaraya,-2.2,113.8333,24.73,90,80,0.71,113.8333,113.8333
115,xinzhi,36.4989,111.7047,18.32,49,0,1.75,111.7047,111.7047
116,bati,11.1833,40.0167,20.54,53,17,0.77,40.0167,40.0167
117,puerto el triunfo,13.2833,-88.55,23.02,94,100,4.42,-88.55,-88.55
118,bechar,31.6167,-2.2167,28.68,14,59,6.87,-2.2167,-2.2167
119,srandakan,-7.9386,110.2506,25.49,89,99,0.93,110.2506,110.2506
120,noorderwijk,51.1416,4.8401,12.29,94,99,1.79,4.8401,4.8401
